I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-117, -136, -19, 126, -48, -78, 156, 566, -175, 29, -126, -87, 
-43, -87, -43, 65, 0, -65, 200, 717, -34, 136, -53, -39, 
29, -39, -68, 4, 48, -53, 244, 868, 107, 244, 19, 9, 
200, 126, -73, -163, 136, 26, 180, 922, 229, 434, 195, 146, 
370, 292, -78, -331, 224, 107, 117, 976, 351, 624, 370, 283, 
580, 653, 73, -617, 253, 363, -136, 868, 536, 932, 668, 551, 
790, 1015, 224, -902, 283, 619, -390, 761, 722, 1239, 966, 819, 
878, 1234, 356, -1056, 261, 795, -600, 502, 683, 1307, 1088, 966, 
966, 1454, 488, -1210, 239, 971, -810, 244, 644, 1376, 1210, 1112, 
634, 1000, 366, -817, 134, 683, -751, -131, 19, 736, 746, 795, 
302, 546, 244, -424, 29, 395, -692, -507, -605, 97, 283, 478, 
136, 292, 156, -214, -9, 224, -531, -458, -727, -63, 117, 312, 
-29, 39, 68, -4, -48, 53, -370, -409, -849, -224, -48, 146, 
-29, 24, 53, 2, -41, 39, -297, -175, -644, -131, -34, 122, 
-29, 9, 39, 9, -34, 24, -224, 58, -439, -39, -19, 97, 
-9, 19, 29, -4, -19, 24, -146, 180, -336, 39, 14, 97, 
9, 29, 19, -19, -4, 24, -68, 302, -234, 117, 48, 97, 
9, 29, 19, -19, -4, 24, -48, 351, -190, 126, 53, 97, 
9, 29, 19, -19, -4, 24, -29, 400, -146, 136, 58, 97, 
0, 24, 24, -12, -12, 24, -14, 400, -146, 146, 63, 97, 
-9, 19, 29, -4, -19, 24, 0, 400, -146, 156, 68, 97, 
-9, 19, 29, -4, -19, 24, 0, 405, -136, 161, 68, 102, 
-9, 19, 29, -4, -19, 24, 0, 409, -126, 165, 68, 107, 
-9, 19, 29, -4, -19, 24, 0, 409, -126, 165, 68, 107, 
-9, 19, 29, -4, -19, 24, 0, 409, -126, 165, 68, 107, 
-9, 19, 29, -4, -19, 24, 0, 414, -126, 170, 68, 102, 
-9, 19, 29, -4, -19, 24, 0, 419, -126, 175, 68, 97, 
-9, 19, 29, -4, -19, 24, 4, 424, -122, 175, 73, 97, 
-9, 19, 29, -4, -19, 24, 9, 429, -117, 175, 78, 97, 
-9, 24, 34, -7, -21, 29, 9, 434, -112, 180, 82, 102, 
-9, 29, 39, -9, -24, 34, 9, 439, -107, 185, 87, 107, 
-4, 34, 39, -14, -21, 36, 9, 444, -102, 190, 92, 112, 
0, 39, 39, -19, -19, 39, 9, 448, -97, 195, 97, 117, 
0, 43, 43, -21, -21, 43, 4, 453, -92, 204, 107, 126, 
0, 48, 48, -24, -24, 48, 0, 458, -87, 214, 117, 136, 
0, 53, 53, -26, -26, 53, 0, 463, -82, 219, 126, 141, 
0, 58, 58, -29, -29, 58, 0, 468, -78, 224, 136, 146, 
4, 63, 58, -34, -26, 61, 4, 478, -68, 229, 136, 151, 
9, 68, 58, -39, -24, 63, 9, 488, -58, 234, 136, 156, 
9, 73, 63, -41, -26, 68, 9, 492, -53, 239, 141, 156, 
9, 78, 68, -43, -29, 73, 9, 497, -48, 244, 146, 156, 
14, 87, 73, -51, -29, 80, 9, 502, -39, 258, 156, 161, 
19, 97, 78, -58, -29, 87, 9, 507, -29, 273, 165, 165, 
19, 97, 78, -58, -29, 87, 9, 517, -24, 273, 170, 165, 
19, 97, 78, -58, -29, 87, 9, 527, -19, 273, 175, 165, 
19, 102, 82, -61, -31, 92, 9, 536, -9, 283, 180, 170, 
19, 107, 87, -63, -34, 97, 9, 546, 0, 292, 185, 175, 
34, 126, 92, -80, -29, 109, 9, 556, 14, 307, 200, 195, 
48, 146, 97, -97, -24, 122, 9, 566, 29, 322, 214, 214, 
48, 156, 107, -102, -29, 131, 4, 575, 43, 336, 229, 224, 
48, 165, 117, -107, -34, 141, 0, 585, 58, 351, 244, 234, 
48, 180, 131, -114, -41, 156, 0, 600, 68, 366, 253, 248, 
48, 195, 146, -122, -48, 170, 0, 614, 78, 380, 263, 263, 
58, 209, 151, -134, -46, 180, 0, 629, 92, 400, 278, 278, 
68, 224, 156, -146, -43, 190, 0, 644, 107, 419, 292, 292, 
73, 244, 170, -158, -48, 207, -4, 658, 126, 434, 307, 307, 
78, 263, 185, -170, -53, 224, -9, 673, 146, 448, 322, 322, 
92, 283, 190, -187, -48, 236, -9, 692, 165, 473, 341, 336, 
107, 302, 195, -204, -43, 248, -9, 712, 185, 497, 361, 351, 
112, 322, 209, -217, -48, 265, -14, 722, 200, 517, 380, 366, 
117, 341, 224, -229, -53, 283, -19, 732, 214, 536, 400, 380, 
126, 361, 234, -244, -53, 297, -19, 741, 234, 556, 414, 395, 
136, 380, 244, -258, -53, 312, -19, 751, 253, 575, 429, 409, 
146, 409, 263, -278, -58, 336, -24, 761, 268, 595, 448, 429, 
156, 439, 283, -297, -63, 361, -29, 771, 283, 614, 468, 448, 
170, 448, 278, -309, -53, 363, -39, 780, 297, 629, 483, 458, 
185, 458, 273, -322, -43, 366, -48, 790, 312, 644, 497, 468, 
195, 478, 283, -336, -43, 380, -53, 795, 322, 663, 512, 488, 
204, 497, 292, -351, -43, 395, -58, 800, 331, 683, 527, 507, 
214, 507, 292, -361, -39, 400, -68, 805, 336, 692, 536, 512, 
224, 517, 292, -370, -34, 405, -78, 810, 341, 702, 546, 517, 
229, 531, 302, -380, -36, 417, -78, 814, 351, 717, 561, 531, 
234, 546, 312, -390, -39, 429, -78, 819, 361, 732, 575, 546, 
239, 551, 312, -395, -36, 431, -82, 819, 361, 736, 575, 551, 
244, 556, 312, -400, -34, 434, -87, 819, 361, 741, 575, 556, 
244, 556, 312, -400, -34, 434, -92, 814, 361, 741, 575, 556, 
244, 556, 312, -400, -34, 434, -97, 810, 361, 741, 575, 556, 
234, 541, 307, -387, -36, 424, -97, 795, 346, 727, 556, 541, 
224, 527, 302, -375, -39, 414, -97, 780, 331, 712, 536, 527, 
214, 497, 283, -356, -34, 390, -92, 766, 312, 692, 517, 507, 
204, 468, 263, -336, -29, 366, -87, 751, 292, 673, 497, 488, 
185, 429, 244, -307, -29, 336, -82, 722, 258, 634, 463, 463, 
165, 390, 224, -278, -29, 307, -78, 692, 224, 595, 429, 439, 
136, 341, 204, -239, -34, 273, -68, 668, 185, 561, 400, 414, 
