I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
9, -4, -14, -2, 12, -9, -24, 9, 68, 87, 63, 34, -4, -9, -19, 
9, -4, -14, -2, 12, -9, -24, 9, 68, 87, 63, 34, -4, -9, -19, 
9, -4, -14, -2, 12, -9, -24, 9, 68, 87, 63, 34, -4, -9, -19, 
9, -4, -14, -2, 12, -9, -24, 9, 63, 87, 63, 34, -4, -4, -19, 
9, -4, -14, -2, 12, -9, -24, 0, 63, 78, 58, 34, -4, -14, -19, 
9, -4, -14, -2, 12, -9, -24, 0, 63, 78, 58, 29, -4, -14, -19, 
9, -4, -14, -2, 12, -9, -19, 0, 63, 73, 58, 29, -4, -14, -19, 
4, 0, -4, -2, 4, -2, -19, -4, 63, 73, 58, 29, -4, -9, -19, 
-4, 0, 4, 2, -4, 2, -9, -4, 63, 73, 48, 29, -14, -9, -14, 
-4, -4, 0, 4, -2, -2, -9, -4, 63, 73, 48, 29, -14, -4, -14, 
-4, -4, 0, 4, -2, -2, -4, -4, 63, 73, 48, 29, -14, -4, -14, 
-4, -4, 0, 4, -2, -2, -4, 0, 63, 73, 48, 29, -14, -9, -14, 
-14, -4, 9, 9, -12, 2, 4, 9, 73, 82, 58, 39, -14, -4, -9, 
-14, -4, 9, 9, -12, 2, 4, 9, 73, 82, 58, 39, -14, 0, -9, 
-14, -4, 9, 9, -12, 2, 4, 9, 73, 82, 58, 39, -14, 4, -4, 
-9, -4, 4, 7, -7, 0, 4, 9, 73, 87, 58, 39, -14, 9, -4, 
-9, -4, 4, 7, -7, 0, 0, 0, 68, 87, 58, 29, -14, 0, -14, 
-9, -4, 4, 7, -7, 0, 0, 0, 68, 87, 58, 29, -9, 0, -14, 
-9, -4, 4, 7, -7, 0, 0, 0, 63, 82, 58, 29, -9, 0, -14, 
-9, -4, 4, 7, -7, 0, 0, 4, 63, 82, 58, 29, -9, 0, -14, 
0, 4, 4, -2, -2, 4, 0, 4, 63, 73, 48, 39, -19, 0, -14, 
0, 4, 4, -2, -2, 4, 0, 4, 63, 73, 48, 39, -19, 0, -14, 
0, 4, 4, -2, -2, 4, 0, 4, 63, 73, 48, 39, -19, 0, -14, 
