I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-48,-29,19,39,-34,-4,9,-19,-87,-107,-126,-97,-87,-19,9
-48,-34,14,41,-31,-9,9,-19,-87,-107,-126,-97,-92,-24,4
-48,-39,9,43,-29,-14,9,-19,-87,-107,-126,-97,-97,-29,0
-48,-39,9,43,-29,-14,9,-19,-82,-107,-126,-97,-97,-29,0
-48,-39,9,43,-29,-14,9,-19,-78,-107,-126,-97,-97,-29,0
-48,-39,9,43,-29,-14,14,-14,-78,-107,-126,-97,-97,-29,4
-48,-39,9,43,-29,-14,19,-9,-78,-107,-126,-97,-97,-29,9
-48,-43,4,46,-26,-19,19,-9,-78,-107,-126,-97,-92,-29,9
-43,-39,4,41,-24,-17,14,-9,-78,-107,-126,-97,-92,-24,4
-43,-34,9,39,-26,-12,9,-14,-82,-112,-126,-97,-92,-19,0
-34,-24,9,29,-21,-7,14,-14,-73,-107,-122,-92,-92,-14,-9
-29,-4,24,17,-26,9,43,4,-63,-97,-112,-87,-97,0,-24
-14,14,29,0,-21,21,73,24,-48,-82,-97,-78,-102,19,-43
-14,29,43,-7,-29,36,122,53,-29,-73,-87,-68,-107,39,-58
-9,48,58,-19,-34,53,136,68,-19,-63,-78,-68,-112,53,-78
-9,63,73,-26,-41,68,151,78,-4,-53,-73,-63,-117,63,-87
4,78,73,-41,-34,75,146,78,14,-43,-63,-58,-117,73,-102
14,102,87,-58,-36,95,126,92,29,-24,-53,-48,-112,92,-122
24,122,97,-73,-36,109,112,97,43,-9,-43,-43,-102,102,-126
39,126,87,-82,-24,107,39,34,34,-19,-48,-43,-97,92,-117
48,131,82,-90,-17,107,-53,-68,0,-39,-58,-43,-92,87,-78
48,141,92,-95,-21,117,-117,-102,-19,-48,-68,-48,-82,102,-39
48,141,92,-95,-21,117,-141,-126,-39,-63,-73,-48,-78,112,-4
48,136,87,-92,-19,112,-161,-126,-48,-68,-73,-48,-68,112,9
48,126,78,-87,-14,102,-170,-126,-53,-73,-78,-48,-48,112,19
43,112,68,-78,-12,90,-170,-146,-78,-87,-92,-53,-48,92,43
43,97,53,-70,-4,75,-180,-161,-112,-102,-107,-58,-39,78,68
53,87,34,-70,9,61,-190,-165,-117,-112,-117,-58,-29,73,92
58,82,24,-70,17,53,-190,-165,-117,-112,-117,-58,-29,73,102
53,78,24,-65,14,51,-161,-146,-112,-112,-112,-53,-24,63,92
29,58,29,-43,0,43,-117,-122,-112,-112,-112,-58,-39,48,82
0,39,39,-19,-19,39,-78,-97,-117,-122,-122,-78,-63,39,58
-24,19,43,2,-34,31,-48,-78,-117,-126,-126,-82,-78,29,48
-39,9,48,14,-43,29,-34,-78,-117,-126,-131,-87,-87,34,39
-43,4,48,19,-46,26,-19,-68,-117,-126,-131,-87,-92,29,29
-63,-4,58,34,-61,26,-4,-53,-112,-126,-131,-102,-102,19,19
-68,-19,48,43,-58,14,14,-39,-112,-126,-131,-107,-107,0,9
-78,-53,24,65,-51,-14,29,-29,-112,-126,-141,-117,-112,-19,0
-78,-73,4,75,-41,-34,43,-24,-112,-131,-146,-122,-117,-29,-9
-78,-73,4,75,-41,-34,43,-24,-112,-136,-146,-126,-117,-39,-4
-82,-73,9,78,-46,-31,43,-19,-117,-136,-151,-126,-117,-39,-4
-92,-82,9,87,-51,-36,48,-19,-117,-136,-156,-126,-117,-43,0
-97,-87,9,92,-53,-39,53,-14,-112,-136,-161,-126,-122,-48,0
-102,-92,9,97,-56,-41,58,-9,-112,-141,-161,-126,-122,-53,4
-102,-97,4,100,-53,-46,63,-9,-107,-141,-161,-126,-122,-58,4
-92,-97,-4,95,-43,-51,68,-4,-107,-136,-146,-126,-122,-53,-4
-97,-87,9,92,-53,-39,82,9,-87,-117,-136,-131,-131,-48,-19
-131,-82,48,107,-90,-17,87,0,-63,-112,-141,-161,-161,-34,-48
-175,-73,102,124,-139,14,165,92,39,-58,-126,-195,-204,-24,-136
-224,-58,165,141,-195,53,409,405,326,126,-24,-224,-239,-9,-380
-204,0,204,102,-204,102,614,775,736,429,209,-170,-165,19,-644
-131,48,180,41,-156,114,771,1127,1180,756,458,-73,-39,39,-873
14,161,146,-87,-65,153,663,1156,1415,966,649,73,131,73,-912
200,400,200,-300,0,300,361,727,1112,849,619,224,253,224,-736
385,634,248,-509,68,441,-214,-224,219,317,331,322,297,395,-214
605,844,239,-724,183,541,-1044,-1542,-1122,-512,-165,429,312,541,673
936,922,-14,-929,475,453,-1912,-2537,-2108,-1083,-429,683,580,536,1576
1288,1112,-175,-1200,732,468,-2874,-3372,-2801,-1493,-610,922,917,624,2352
1546,1215,-331,-1381,939,441,-3435,-3791,-3054,-1659,-702,1058,1127,673,2723
1468,707,-761,-1088,1115,-26,-2815,-2967,-2283,-1078,-239,1137,1307,287,2274
1185,375,-810,-780,997,-217,-2069,-2152,-1439,-527,112,990,1151,102,1693
810,219,-590,-514,700,-185,-1434,-1566,-1234,-732,-370,463,619,78,1307
512,87,-424,-300,468,-168,-976,-1122,-1054,-800,-595,117,253,53,1005
317,34,-283,-175,300,-124,-673,-800,-771,-624,-478,4,102,43,722
141,-29,-170,-56,156,-100,-375,-473,-522,-453,-370,-82,-19,9,463
24,-58,-82,17,53,-70,-126,-175,-258,-239,-224,-82,-34,-24,219
-48,-92,-43,70,-2,-68,29,0,-102,-102,-126,-87,-53,-48,58
-87,-102,-14,95,-36,-58,78,48,-48,-78,-97,-87,-73,-53,0
-92,-107,-14,100,-39,-61,102,78,-34,-68,-92,-87,-87,-58,-29
-102,-107,-4,104,-48,-56,131,107,-19,-63,-87,-97,-87,-58,-43
-107,-112,-4,109,-51,-58,156,136,4,-43,-78,-107,-97,-63,-63
-122,-117,4,119,-63,-56,165,136,4,-43,-78,-107,-107,-63,-68
-122,-117,4,119,-63,-56,170,136,0,-53,-82,-112,-107,-63,-78
-122,-117,4,119,-63,-56,170,141,0,-53,-82,-117,-112,-68,-82
-122,-117,4,119,-63,-56,180,151,4,-48,-82,-122,-117,-78,-87
-126,-117,9,122,-68,-53,190,151,4,-43,-78,-126,-117,-78,-87
-126,-117,9,122,-68,-53,190,151,9,-43,-78,-126,-122,-78,-87
-126,-117,9,122,-68,-53,190,156,9,-43,-78,-126,-122,-78,-87
-131,-117,14,124,-73,-51,190,156,9,-43,-78,-126,-122,-78,-87
-136,-117,19,126,-78,-48,195,156,9,-48,-78,-126,-122,-78,-92
-136,-122,14,129,-75,-53,195,161,9,-53,-82,-126,-122,-78,-92
