I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
253,-439,-692,92,473,-566,-273,-517,-595,-595,-556,-361,292,-400,-244
253,-439,-692,92,473,-566,-273,-517,-595,-595,-556,-361,292,-400,-244
253,-439,-692,92,473,-566,-273,-517,-595,-595,-556,-361,292,-400,-244
253,-439,-692,92,473,-566,-273,-517,-595,-595,-556,-361,292,-400,-244
200,-390,-590,95,395,-490,-229,-444,-512,-517,-488,-317,248,-331,-200
146,-341,-488,97,317,-414,-185,-370,-429,-439,-419,-273,214,-273,-165
92,-292,-385,100,239,-339,-141,-297,-346,-361,-351,-229,180,-214,-131
39,-244,-283,102,161,-263,-97,-224,-263,-283,-283,-185,146,-156,-97
19,-209,-229,95,124,-219,-63,-175,-214,-229,-244,-161,117,-122,-73
0,-175,-175,87,87,-175,-39,-126,-165,-185,-204,-136,97,-87,-48
-19,-141,-122,80,51,-131,-14,-78,-117,-141,-165,-112,78,-53,-24
-39,-107,-68,73,14,-87,9,-29,-68,-97,-126,-87,58,-19,0
-58,-102,-43,80,-7,-73,14,-14,-48,-82,-112,-68,43,-4,4
-68,-97,-29,82,-19,-63,19,-9,-39,-68,-97,-58,39,0,9
-78,-92,-14,85,-31,-53,24,-4,-29,-53,-82,-48,34,4,14
-87,-87,0,87,-43,-43,29,0,-19,-39,-68,-39,29,9,19
-87,-82,4,85,-46,-39,29,9,-9,-29,-68,-34,29,19,19
-87,-78,9,82,-48,-34,29,9,-9,-29,-68,-29,29,19,19
-87,-73,14,80,-51,-29,29,9,-9,-29,-68,-24,29,19,19
-87,-68,19,78,-53,-24,29,9,-9,-29,-68,-19,29,19,19
-87,-58,29,73,-58,-14,39,9,0,-19,-63,-14,29,29,29
-87,-58,29,73,-58,-14,39,9,0,-19,-58,-9,29,29,29
-87,-58,29,73,-58,-14,39,9,0,-19,-53,-4,29,29,29
-87,-58,29,73,-58,-14,39,9,0,-19,-48,0,29,29,29
-97,-48,48,73,-73,0,43,24,9,-19,-39,4,29,34,39
-97,-48,48,73,-73,0,48,29,9,-19,-39,9,29,39,39
-97,-48,48,73,-73,0,53,34,9,-19,-39,14,29,43,39
-97,-48,48,73,-73,0,58,39,9,-19,-39,19,29,48,39
-107,-48,58,78,-82,4,68,29,9,-14,-39,4,29,48,48
-107,-48,58,78,-82,4,68,29,9,-9,-39,0,29,48,48
-107,-48,58,78,-82,4,68,29,9,-4,-39,-4,29,48,48
-107,-48,58,78,-82,4,68,29,9,0,-39,-9,29,48,48
-107,-48,58,78,-82,4,58,34,19,0,-29,-29,19,58,48
-107,-48,58,78,-82,4,58,39,19,0,-29,-39,19,58,48
-107,-48,58,78,-82,4,58,43,19,0,-29,-48,19,58,48
-107,-48,58,78,-82,4,58,48,19,0,-29,-58,19,58,48
-107,-39,68,73,-87,14,58,43,9,0,-39,-78,29,58,48
-107,-39,68,73,-87,14,58,39,9,0,-39,-97,29,58,48
-107,-39,68,73,-87,14,58,34,9,0,-39,-117,29,58,48
-107,-39,68,73,-87,14,58,29,9,0,-39,-136,29,58,48
-112,-48,63,80,-87,7,68,29,9,-9,-39,-146,29,48,48
-117,-48,68,82,-92,9,68,29,9,-9,-39,-156,29,48,48
-122,-48,73,85,-97,12,68,29,9,-9,-39,-165,29,48,48
-126,-48,78,87,-102,14,68,29,9,-9,-39,-175,29,48,48
-122,-39,82,80,-102,21,68,39,9,-9,-29,-180,29,58,58
-117,-39,78,78,-97,19,68,39,9,-9,-29,-185,29,58,58
-112,-39,73,75,-92,17,68,39,9,-9,-29,-190,29,58,58
-107,-39,68,73,-87,14,68,39,9,-9,-29,-195,29,58,58
-112,-43,68,78,-90,12,68,39,0,-19,-34,-190,29,68,58
-117,-48,68,82,-92,9,68,39,0,-19,-39,-185,29,68,58
-122,-53,68,87,-95,7,68,39,0,-19,-43,-180,29,68,58
-126,-58,68,92,-97,4,68,39,0,-19,-48,-175,29,68,58
-136,-58,78,97,-107,9,58,48,9,-29,-48,-170,29,58,48
-136,-58,78,97,-107,9,58,48,9,-29,-48,-165,29,58,48
-136,-58,78,97,-107,9,58,48,9,-29,-48,-161,29,58,48
-136,-58,78,97,-107,9,58,48,9,-29,-48,-156,29,58,48
-136,-58,78,97,-107,9,58,48,0,-29,-48,-141,29,58,58
-136,-58,78,97,-107,9,58,48,0,-29,-48,-136,29,58,58
-136,-58,78,97,-107,9,58,48,0,-29,-48,-131,29,58,58
-136,-58,78,97,-107,9,58,48,0,-29,-48,-126,29,58,58
-146,-58,87,102,-117,14,58,48,0,-29,-53,-122,19,58,58
-146,-58,87,102,-117,14,58,48,0,-29,-58,-117,19,58,58
-146,-58,87,102,-117,14,58,48,0,-29,-63,-112,19,58,58
-146,-58,87,102,-117,14,58,48,0,-29,-68,-107,19,58,58
-136,-58,78,97,-107,9,68,58,9,-29,-68,-102,29,68,58
-136,-58,78,97,-107,9,68,58,9,-29,-68,-97,29,68,58
-136,-58,78,97,-107,9,68,58,9,-29,-68,-92,29,68,58
-136,-58,78,97,-107,9,68,58,9,-29,-68,-87,29,68,58
-146,-58,87,102,-117,14,68,68,9,-39,-73,-87,19,78,58
-146,-58,87,102,-117,14,68,68,9,-39,-78,-87,19,78,58
-146,-58,87,102,-117,14,68,68,9,-39,-82,-87,19,78,58
-146,-58,87,102,-117,14,68,68,9,-39,-87,-87,19,78,58
-156,-58,97,107,-126,19,73,73,19,-34,-78,-73,19,87,68
-156,-58,97,107,-126,19,78,78,19,-29,-78,-68,19,87,68
-156,-58,97,107,-126,19,82,82,19,-24,-78,-63,19,87,68
-156,-58,97,107,-126,19,87,87,19,-19,-78,-58,19,87,68
-156,-53,102,104,-129,24,97,87,19,-9,-78,-53,9,87,78
-156,-48,107,102,-131,29,97,87,19,-9,-78,-48,9,87,78
-156,-43,112,100,-134,34,97,87,19,-9,-78,-43,9,87,78
-156,-39,117,97,-136,39,97,87,19,-9,-78,-39,9,87,78
-156,-39,117,97,-136,39,107,97,24,0,-78,-24,9,97,87
-156,-39,117,97,-136,39,107,97,29,0,-78,-19,9,97,87
-156,-39,117,97,-136,39,107,97,34,0,-78,-14,9,97,87
-156,-39,117,97,-136,39,107,97,39,0,-78,-9,9,97,87
-156,-29,126,92,-141,48,117,102,39,0,-78,9,14,107,87
-156,-29,126,92,-141,48,117,107,39,0,-78,19,19,107,87
-156,-29,126,92,-141,48,117,112,39,0,-78,29,24,107,87
-156,-29,126,92,-141,48,117,117,39,0,-78,39,29,107,87
-161,-34,126,97,-143,46,122,126,43,9,-78,48,19,117,97
-165,-39,126,102,-146,43,126,126,48,9,-78,48,19,117,97
-170,-43,126,107,-148,41,131,126,53,9,-78,48,19,117,97
-175,-48,126,112,-151,39,136,126,58,9,-78,48,19,117,97
-190,-48,141,119,-165,46,136,141,68,19,-68,63,9,122,97
-195,-48,146,122,-170,48,136,146,68,19,-68,68,9,126,97
-200,-48,151,124,-175,51,136,151,68,19,-68,73,9,131,97
-204,-48,156,126,-180,53,136,156,68,19,-68,78,9,136,97
-195,-43,151,119,-173,53,151,170,87,29,-68,78,9,151,102
-195,-39,156,117,-175,58,156,175,97,39,-68,78,9,156,107
-195,-34,161,114,-178,63,161,180,107,48,-68,78,9,161,112
-195,-29,165,112,-180,68,165,185,117,58,-68,78,9,165,117
-209,-39,170,124,-190,65,170,200,122,68,-58,73,9,170,122
-214,-39,175,126,-195,68,175,204,126,68,-58,68,9,175,126
-219,-39,180,129,-200,70,180,209,131,68,-58,63,9,180,131
-224,-39,185,131,-204,73,185,214,136,68,-58,58,9,185,136
-229,-39,190,134,-209,75,190,229,141,73,-48,39,0,190,136
-234,-39,195,136,-214,78,195,234,146,78,-48,29,0,195,136
-239,-39,200,139,-219,80,200,239,151,82,-48,19,0,200,136
-244,-39,204,141,-224,82,204,244,156,87,-48,9,0,204,136
-244,-34,209,139,-226,87,219,258,161,92,-48,-4,-9,219,141
-244,-29,214,136,-229,92,224,263,165,97,-48,-9,-9,224,146
-244,-24,219,134,-231,97,229,268,170,102,-48,-14,-9,229,151
-244,-19,224,131,-234,102,234,273,175,107,-48,-19,-9,234,156
-248,-9,239,129,-244,114,239,283,190,112,-39,-29,-14,248,165
-253,-9,244,131,-248,117,244,292,195,117,-39,-39,-19,253,165
-258,-9,248,134,-253,119,248,302,200,122,-39,-48,-24,258,165
-263,-9,253,136,-258,122,253,312,204,126,-39,-58,-29,263,165
