I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-68,9,78,29,-73,43,48,0,0,-29,-39,-9
-53,19,73,17,-63,46,58,9,9,-19,-29,4
-39,29,68,4,-53,48,68,19,19,-9,-19,19
-39,4,43,17,-41,24,24,-9,-4,-34,-48,-14
-39,-19,19,29,-29,0,-19,-39,-29,-58,-78,-48
-53,-39,14,46,-34,-12,-29,-39,-29,-58,-78,-48
-68,-58,9,63,-39,-24,-39,-39,-29,-58,-78,-48
-53,-43,9,48,-31,-17,-4,-39,-19,-48,-63,-39
-39,-29,9,34,-24,-9,29,-39,-9,-39,-48,-29
-39,-19,19,29,-29,0,29,-34,-9,-39,-48,-29
-39,-9,29,24,-34,9,29,-29,-9,-39,-48,-29
-24,-9,14,17,-19,2,29,-29,-9,-39,-53,-29
-9,-9,0,9,-4,-4,29,-29,-9,-39,-58,-29
-29,-14,14,21,-21,0,14,-29,-9,-39,-58,-29
-48,-19,29,34,-39,4,0,-29,-9,-39,-58,-29
-68,-29,39,48,-53,4,-14,-39,-9,-48,-58,-39
-87,-39,48,63,-68,4,-29,-48,-9,-58,-58,-48
-73,-24,48,48,-61,12,-4,-24,-4,-43,-53,-39
-58,-9,48,34,-53,19,19,0,0,-29,-48,-29
-58,-9,48,34,-53,19,29,0,0,-29,-48,-29
-58,-9,48,34,-53,19,39,0,0,-29,-48,-29
-34,-9,24,21,-29,7,24,-14,-9,-39,-53,-39
-9,-9,0,9,-4,-4,9,-29,-19,-48,-58,-48
-9,-9,0,9,-4,-4,24,-39,-19,-48,-58,-48
-9,-9,0,9,-4,-4,39,-48,-19,-48,-58,-48
-19,-19,0,19,-9,-9,19,-48,-14,-48,-58,-43
-29,-29,0,29,-14,-14,0,-48,-9,-48,-58,-39
-53,-29,24,41,-39,-2,24,-29,0,-34,-43,-29
-78,-29,48,53,-63,9,48,-9,9,-19,-29,-19
-78,-29,48,53,-63,9,48,-9,0,-29,-43,-34
-78,-29,48,53,-63,9,48,-9,-9,-39,-58,-48
-43,-19,24,31,-34,2,34,-14,-9,-39,-58,-48
-9,-9,0,9,-4,-4,19,-19,-9,-39,-58,-48
-29,-9,19,19,-24,4,9,-19,-9,-39,-58,-48
-48,-9,39,29,-43,14,0,-19,-9,-39,-58,-48
-58,-24,34,41,-46,4,-34,-19,-9,-39,-58,-48
-68,-39,29,53,-48,-4,-68,-19,-9,-39,-58,-48
-58,-39,19,48,-39,-9,-19,-14,-9,-39,-53,-43
-48,-39,9,43,-29,-14,29,-9,-9,-39,-48,-39
-39,-29,9,34,-24,-9,39,-9,-9,-39,-48,-39
-29,-19,9,24,-19,-4,48,-9,-9,-39,-48,-39
-48,-34,14,41,-31,-9,34,-9,-9,-39,-53,-43
-68,-48,19,58,-43,-14,19,-9,-9,-39,-58,-48
-24,-19,4,21,-14,-7,19,-24,-9,-39,-58,-53
19,9,-9,-14,14,0,19,-39,-9,-39,-58,-58
-9,0,9,4,-9,4,29,-58,-4,-39,-58,-58
-39,-9,29,24,-34,9,39,-78,0,-39,-58,-58
-58,-19,39,39,-48,9,29,-58,4,-34,-53,-53
-78,-29,48,53,-63,9,19,-39,9,-29,-48,-48
-58,-29,29,43,-43,0,19,-4,9,-29,-48,-39
-39,-29,9,34,-24,-9,19,29,9,-29,-48,-29
-63,-39,24,51,-43,-7,14,0,0,-34,-53,-43
-87,-48,39,68,-63,-4,9,-29,-9,-39,-58,-58
-78,-48,29,63,-53,-9,-14,-29,-9,-39,-58,-58
-68,-48,19,58,-43,-14,-39,-29,-9,-39,-58,-58
-43,-24,19,34,-31,-2,9,-19,0,-29,-53,-43
-19,0,19,9,-19,9,58,-9,9,-19,-48,-29
-19,0,19,9,-19,9,58,-19,0,-29,-48,-39
-19,0,19,9,-19,9,58,-29,-9,-39,-48,-48
-53,-9,43,31,-48,17,29,-29,-9,-39,-48,-48
-87,-19,68,53,-78,24,0,-29,-9,-39,-48,-48
-63,-19,43,41,-53,12,14,-29,-4,-34,-48,-48
-39,-19,19,29,-29,0,29,-29,0,-29,-48,-48
-34,-43,-9,39,-12,-26,14,-39,0,-29,-43,-53
-48,-29,19,39,-34,-4,29,-34,9,-19,-39,-48
-68,-14,53,41,-61,19,43,-29,24,-14,-39,-43
-97,9,107,43,-102,58,68,-4,39,-4,-24,-34
-48,24,73,12,-61,48,73,14,53,9,-14,-24
-14,43,58,-14,-36,51,73,34,63,19,0,-19
19,43,24,-31,-2,34,68,39,53,9,-14,-29
48,63,14,-56,17,39,63,39,39,4,-29,-39
14,63,48,-39,-17,56,48,43,58,19,-19,-29
0,58,58,-29,-29,58,39,43,73,34,-14,-24
-9,34,43,-12,-26,39,9,4,87,39,-9,-19
-24,9,34,7,-29,21,-29,-34,97,39,-4,-14
-24,29,53,-2,-39,41,-34,-19,107,48,4,-9
-14,43,58,-14,-36,51,-19,4,112,58,14,-4
-34,58,92,-12,-63,75,24,29,131,73,29,9
-34,87,122,-26,-78,104,48,48,131,78,43,19
-19,68,87,-24,-53,78,9,19,112,53,29,9
4,58,53,-31,-24,56,-9,0,92,39,19,0
24,48,24,-36,0,36,-53,-39,48,9,-19,-29
24,39,14,-31,4,26,-82,-58,14,-4,-34,-34
34,24,-9,-29,21,7,-97,-73,9,-14,-39,-43
19,19,0,-19,9,9,-112,-92,4,-19,-39,-53
9,19,9,-14,0,14,-102,-68,-4,-24,-39,-43
9,19,9,-14,0,14,-73,-43,-14,-34,-39,-39
-14,4,19,4,-17,12,-43,-19,-9,-34,-43,-48
-39,-14,24,26,-31,4,-24,4,-9,-34,-53,-58
-53,-19,34,36,-43,7,-19,-9,-19,-43,-58,-58
-68,-24,43,46,-56,9,-14,-19,-24,-53,-63,-58
-48,-34,14,41,-31,-9,-29,-34,-29,-53,-63,-68
-19,-39,-19,29,0,-29,-53,-43,-24,-58,-68,-82
-63,-53,9,58,-36,-21,-14,-39,-24,-58,-73,-87
-78,-63,14,70,-46,-24,14,-39,-29,-68,-78,-92
-78,-63,14,70,-46,-24,24,-53,-43,-73,-97,-107
-97,-63,34,80,-65,-14,24,-63,-43,-73,-107,-107
-107,-78,29,92,-68,-24,48,-39,-29,-68,-87,-102
-107,-97,9,102,-58,-43,73,-14,-19,-68,-73,-92
-82,-87,-4,85,-39,-46,63,-19,-19,-68,-87,-92
-58,-73,-14,65,-21,-43,63,-19,-19,-68,-97,-92
-58,-68,-9,63,-24,-39,58,-68,-48,-82,-97,-107
-68,-82,-14,75,-26,-48,39,-92,-68,-97,-102,-126
-63,-92,-29,78,-17,-61,43,-117,-68,-112,-131,-136
-43,-82,-39,63,-2,-61,58,9,4,-48,-92,-117
29,-112,-141,41,85,-126,53,488,180,122,9,-53
97,-43,-141,-26,119,-92,58,756,424,326,141,29
146,68,-78,-107,112,-4,122,1063,878,683,380,200
112,214,102,-163,4,158,131,961,1122,868,541,331
-68,395,463,-163,-265,429,156,209,1073,771,527,331
-117,649,766,-265,-441,707,63,-395,941,727,614,468
-175,985,1161,-405,-668,1073,-248,-1239,639,688,824,800
-161,1180,1342,-509,-751,1261,-605,-1927,-34,351,824,966
165,1137,971,-651,-402,1054,-1102,-2347,-1176,-405,497,936
614,829,214,-722,200,522,-1405,-2259,-1893,-907,219,868
