I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
702, 849, 146, -775, 278, 497, -273, 595, 819, 1093, 1005, 868, 
746, 507, -239, -627, 492, 134, -165, 761, 663, 785, 766, 829, 
790, 165, -624, -478, 707, -229, -58, 927, 507, 478, 527, 790, 
634, -53, -688, -290, 661, -370, -9, 668, 278, 224, 307, 619, 
478, -273, -751, -102, 614, -512, 39, 409, 48, -29, 87, 448, 
204, -322, -527, 58, 366, -424, 161, 214, -14, -146, -63, 229, 
-68, -370, -302, 219, 117, -336, 283, 19, -78, -263, -214, 9, 
-190, -385, -195, 287, 2, -290, 395, 9, -53, -283, -283, -126, 
-312, -400, -87, 356, -112, -244, 507, 0, -29, -302, -351, -263, 
-351, -380, -29, 366, -161, -204, 566, 0, 24, -278, -341, -273, 
-390, -361, 29, 375, -209, -165, 624, 0, 78, -253, -331, -283, 
-409, -351, 58, 380, -234, -146, 688, 0, 58, -253, -331, -292, 
-429, -341, 87, 385, -258, -126, 751, 0, 39, -253, -331, -302, 
-444, -390, 53, 417, -248, -168, 751, -4, -19, -268, -331, -302, 
-458, -439, 19, 448, -239, -209, 751, -9, -78, -283, -331, -302, 
-458, -448, 9, 453, -234, -219, 741, -24, -112, -283, -331, -302, 
-458, -458, 0, 458, -229, -229, 732, -39, -146, -283, -331, -302, 
-434, -444, -9, 439, -212, -226, 668, -48, -146, -278, -312, -287, 
-409, -429, -19, 419, -195, -224, 605, -58, -146, -273, -292, -273, 
-380, -409, -29, 395, -175, -219, 575, -14, -141, -258, -283, -258, 
-351, -390, -39, 370, -156, -214, 546, 29, -136, -244, -273, -244, 
-297, -346, -48, 322, -124, -197, 453, 48, -122, -209, -244, -219, 
-244, -302, -58, 273, -92, -180, 361, 68, -107, -175, -214, -195, 
-209, -273, -63, 241, -73, -168, 292, 78, -97, -156, -190, -175, 
-175, -244, -68, 209, -53, -156, 224, 87, -87, -136, -165, -156, 
-151, -224, -73, 187, -39, -148, 214, 92, -73, -126, -161, -151, 
-126, -204, -78, 165, -24, -141, 204, 97, -58, -117, -156, -146, 
-122, -190, -68, 156, -26, -129, 190, 102, -53, -112, -141, -136, 
-117, -175, -58, 146, -29, -117, 175, 107, -48, -107, -126, -126, 
-112, -175, -63, 143, -24, -119, 170, 112, -48, -102, -126, -122, 
-107, -175, -68, 141, -19, -122, 165, 117, -48, -97, -126, -117, 
-107, -175, -68, 141, -19, -122, 165, 122, -48, -92, -122, -117, 
-107, -175, -68, 141, -19, -122, 165, 126, -48, -87, -117, -117, 
-102, -175, -73, 139, -14, -124, 165, 126, -48, -87, -117, -117, 
-97, -175, -78, 136, -9, -126, 165, 126, -48, -87, -117, -117, 
-97, -175, -78, 136, -9, -126, 165, 136, -39, -87, -122, -117, 
-97, -175, -78, 136, -9, -126, 165, 146, -29, -87, -126, -117, 
-97, -175, -78, 136, -9, -126, 165, 146, -29, -82, -126, -117, 
-97, -175, -78, 136, -9, -126, 165, 146, -29, -78, -126, -117, 
-97, -175, -78, 136, -9, -126, 165, 151, -24, -78, -126, -117, 
-97, -175, -78, 136, -9, -126, 165, 156, -19, -78, -126, -117, 
-97, -175, -78, 136, -9, -126, 170, 161, -14, -78, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 165, -9, -78, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 170, -9, -73, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 175, -9, -68, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 180, -9, -68, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 185, -9, -68, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 190, -4, -63, -126, -117, 
-97, -175, -78, 136, -9, -126, 175, 195, 0, -58, -126, -117, 
-92, -180, -87, 136, -2, -134, 180, 200, 4, -58, -126, -117, 
-87, -185, -97, 136, 4, -141, 185, 204, 9, -58, -126, -117, 
-87, -185, -97, 136, 4, -141, 185, 209, 9, -58, -126, -117, 
-87, -185, -97, 136, 4, -141, 185, 214, 9, -58, -126, -117, 
-87, -175, -87, 131, 0, -131, 190, 219, 9, -58, -126, -122, 
-87, -165, -78, 126, -4, -122, 195, 224, 9, -58, -126, -126, 
-82, -165, -82, 124, 0, -124, 195, 234, 19, -53, -126, -126, 
-78, -165, -87, 122, 4, -126, 195, 244, 29, -48, -126, -126, 
-73, -161, -87, 117, 7, -124, 200, 253, 39, -43, -122, -122, 
-68, -156, -87, 112, 9, -122, 204, 263, 48, -39, -117, -117, 
-63, -151, -87, 107, 12, -119, 209, 273, 53, -34, -112, -112, 
-58, -146, -87, 102, 14, -117, 214, 283, 58, -29, -107, -107, 
-58, -146, -87, 102, 14, -117, 214, 297, 58, -24, -107, -107, 
-58, -146, -87, 102, 14, -117, 214, 312, 58, -19, -107, -107, 
-53, -141, -87, 97, 17, -114, 214, 322, 68, -14, -102, -102, 
-48, -136, -87, 92, 19, -112, 214, 331, 78, -9, -97, -97, 
-43, -122, -78, 82, 17, -100, 214, 346, 87, 4, -92, -97, 
-39, -107, -68, 73, 14, -87, 214, 361, 97, 19, -87, -97, 
-34, -97, -63, 65, 14, -80, 214, 380, 112, 29, -78, -87, 
-29, -87, -58, 58, 14, -73, 214, 400, 126, 39, -68, -78, 
-24, -78, -53, 51, 14, -65, 214, 414, 136, 48, -58, -68, 
-19, -68, -48, 43, 14, -58, 214, 429, 146, 58, -48, -58, 
-9, -58, -48, 34, 19, -53, 204, 444, 161, 73, -34, -48, 
0, -48, -48, 24, 24, -48, 195, 458, 175, 87, -19, -39, 
9, -34, -43, 12, 26, -39, 190, 478, 190, 107, 0, -29, 
19, -19, -39, 0, 29, -29, 185, 497, 204, 126, 19, -19, 
34, 9, -24, -21, 29, -7, 175, 512, 214, 146, 43, 4, 
48, 39, -9, -43, 29, 14, 165, 527, 224, 165, 68, 29, 
63, 53, -9, -58, 36, 21, 156, 541, 244, 180, 82, 39, 
78, 68, -9, -73, 43, 29, 146, 556, 263, 195, 97, 48, 
87, 87, 0, -87, 43, 43, 131, 561, 268, 214, 107, 58, 
97, 107, 9, -102, 43, 58, 117, 566, 273, 234, 117, 68, 
117, 131, 14, -124, 51, 73, 92, 566, 283, 253, 141, 87, 
136, 156, 19, -146, 58, 87, 68, 566, 292, 273, 165, 107, 
161, 180, 19, -170, 70, 100, 48, 566, 302, 297, 190, 136, 
185, 204, 19, -195, 82, 112, 29, 566, 312, 322, 214, 165, 
195, 224, 29, -209, 82, 126, 9, 561, 322, 331, 234, 180, 
204, 244, 39, -224, 82, 141, -9, 556, 331, 341, 253, 195, 
214, 253, 39, -234, 87, 146, -39, 536, 322, 351, 263, 204, 
224, 263, 39, -244, 92, 151, -68, 517, 312, 361, 273, 214, 
234, 273, 39, -253, 97, 156, -87, 478, 297, 361, 278, 224, 
244, 283, 39, -263, 102, 161, -107, 439, 283, 361, 283, 234, 
244, 283, 39, -263, 102, 161, -122, 405, 263, 351, 283, 234, 
244, 283, 39, -263, 102, 161, -136, 370, 244, 341, 283, 234, 
239, 278, 39, -258, 100, 158, -146, 322, 224, 326, 273, 229, 
234, 273, 39, -253, 97, 156, -156, 273, 204, 312, 263, 224, 
219, 263, 43, -241, 87, 153, -156, 239, 180, 292, 253, 214, 
204, 253, 48, -229, 78, 151, -156, 204, 156, 273, 244, 204, 
190, 229, 39, -209, 75, 134, -156, 170, 136, 248, 219, 185, 
175, 204, 29, -190, 73, 117, -156, 136, 117, 224, 195, 165, 
156, 190, 34, -173, 61, 112, -156, 107, 102, 200, 175, 146, 
136, 175, 39, -156, 48, 107, -156, 78, 87, 175, 156, 126, 
126, 161, 34, -143, 46, 97, -151, 48, 68, 156, 141, 122, 
117, 146, 29, -131, 43, 87, -146, 19, 48, 136, 126, 117, 
102, 131, 29, -117, 36, 80, -141, 4, 34, 122, 112, 102, 
87, 117, 29, -102, 29, 73, -136, -9, 19, 107, 97, 87, 
78, 112, 34, -95, 21, 73, -122, -24, 14, 97, 87, 78, 
68, 107, 39, -87, 14, 73, -107, -39, 9, 87, 78, 68, 
58, 92, 34, -75, 12, 63, -107, -43, 4, 78, 68, 58, 
48, 78, 29, -63, 9, 53, -107, -48, 0, 68, 58, 48, 
48, 78, 29, -63, 9, 53, -102, -53, -4, 63, 48, 43, 
48, 78, 29, -63, 9, 53, -97, -58, -9, 58, 39, 39, 
39, 73, 34, -56, 2, 53, -92, -63, -14, 48, 34, 29, 
29, 68, 39, -48, -4, 53, -87, -68, -19, 39, 29, 19, 
29, 58, 29, -43, 0, 43, -78, -68, -19, 39, 29, 19, 
29, 48, 19, -39, 4, 34, -68, -68, -19, 39, 29, 19, 
29, 43, 14, -36, 7, 29, -63, -58, -19, 39, 29, 24, 
29, 39, 9, -34, 9, 24, -58, -48, -19, 39, 29, 29, 
24, 39, 14, -31, 4, 26, -58, -48, -19, 39, 29, 29, 
19, 39, 19, -29, 0, 29, -58, -48, -19, 39, 29, 29, 
14, 39, 24, -26, -4, 31, -58, -48, -19, 34, 24, 19, 
9, 39, 29, -24, -9, 34, -58, -48, -19, 29, 19, 9, 
9, 34, 24, -21, -7, 29, -58, -48, -19, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -48, -19, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -39, -14, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -29, -9, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -53, -29, -9, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -48, -29, -9, 29, 19, 9, 
4, 29, 24, -17, -9, 26, -43, -29, -9, 24, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 24, 24, -12, -12, 24, -39, -24, -9, 19, 19, 9, 
